No.,Time,Source,Destination,Protocol,Length,Info
4980,9.993911,192.168.1.2,91.108.23.100,HTTP,350,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
4985,9.99668,192.168.1.2,91.108.23.100,HTTP,286,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
5008,10.045009,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
5009,10.046502,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
5014,10.057926,192.168.1.2,91.108.23.100,HTTP,142,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
5019,10.063744,192.168.1.2,91.108.23.100,HTTP,206,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
5028,10.10929,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
5030,10.120938,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
5032,10.121021,192.168.1.2,91.108.23.100,HTTP,334,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
5038,10.130779,192.168.1.2,91.108.23.100,HTTP,334,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
5050,10.174275,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
5054,10.188146,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
5055,10.188163,192.168.1.2,91.108.23.100,HTTP,222,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
5059,10.197784,192.168.1.2,91.108.23.100,HTTP,254,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
5077,10.251877,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
5083,10.260182,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
5085,10.260685,192.168.1.2,91.108.23.100,HTTP,334,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
5089,10.269958,192.168.1.2,91.108.23.100,HTTP,206,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
5095,10.31379,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
5096,10.321443,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
5099,10.329797,192.168.1.2,91.108.23.100,HTTP,270,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
5103,10.335694,192.168.1.2,91.108.23.100,HTTP,286,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
5117,10.381431,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
5121,10.392779,192.168.1.2,91.108.23.100,HTTP,270,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
5122,10.393715,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
5127,10.406728,192.168.1.2,91.108.23.100,HTTP,142,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
5138,10.444215,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
5141,10.454882,192.168.1.2,91.108.23.100,HTTP,270,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
5143,10.458867,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
5146,10.468853,192.168.1.2,91.108.23.100,HTTP,238,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
5153,10.510646,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
5155,10.519977,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
5157,10.520761,192.168.1.2,91.108.23.100,HTTP,206,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
5161,10.531674,192.168.1.2,91.108.23.100,HTTP,318,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
5170,10.573892,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
5171,10.582144,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
5174,10.584376,192.168.1.2,91.108.23.100,HTTP,382,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
5178,10.591786,192.168.1.2,91.108.23.100,HTTP,286,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
5190,10.643708,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
5194,10.652831,192.168.1.2,91.108.23.100,HTTP,286,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
5197,10.665089,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
5205,10.674674,192.168.1.2,91.108.23.100,HTTP,318,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
5208,10.708409,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
5211,10.718703,192.168.1.2,91.108.23.100,HTTP,302,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
5213,10.733827,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
5222,10.743728,192.168.1.2,91.108.23.100,HTTP,366,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
5229,10.775962,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
5232,10.786067,192.168.1.2,91.108.23.100,HTTP,174,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
5234,10.797877,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
5239,10.815028,192.168.1.2,91.108.23.100,HTTP,158,POST /api HTTP/1.1  (application/x-www-form-urlencoded)
5244,10.837083,91.108.23.100,192.168.1.2,HTTP,288,HTTP/1.1 200 OK 
